place_id,nama_wisata,deskripsi,kategori,kota,harga,rating,lat,long,gambar,fitur_gabungan
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,20000,4.7,-6.1753924,106.8271528,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c3/d2/54/jakarta-amazing-tour.jpg?w=800&h=500&s=1,monumen nasional budaya jakarta monumen nasional atau yang populer disingkat dengan monas atau tugu monas adalah monumen peringatan setinggi 132 meter 433 kaki yang didirikan untuk mengenang perlawanan dan perjuangan rakyat indonesia untuk merebut kemerdekaan dari pemerintahan kolonial hindia belanda pembangunan monumen ini dimulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan dibuka untuk umum pada tanggal 12 juli 1975 tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala nyala monumen nasional terletak tepat di tengah lapangan medan merdeka jakarta pusat
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,0,4.2,-6.1376448,106.8171245,https://akcdn.detik.net.id/visual/2020/09/01/kemenparekraf-iklan_169.jpeg?w=1200,kota tua budaya jakarta kota tua di jakarta yang juga bernama kota tua berpusat di alun alun fatahillah yaitu alun alun yang ramai dengan pertunjukan rutin tarian tradisional museum sejarah jakarta adalah bangunan era belanda dengan lukisan dan barang antik sedangkan museum wayang memamerkan boneka kayu khas jawa desa glodok atau chinatown terkenal dengan makanan kaki lima seperti pangsit dan mi goreng di dekatnya terdapat sekunar dan kapal penangkap ikan di pelabuhan sunda kelapa yang kuno
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,270000,4.6,-6.1253124,106.8335377,https://www.ancol.com/blog/wp-content/uploads/2022/04/wahana-dufan.jpg,dunia fantasi taman hiburan jakarta dunia fantasi atau disebut juga dufan adalah tempat hiburan yang terletak di kawasan taman impian jaya ancol jakarta utara indonesia dufan diresmikan dan dibuka pada tanggal 29 agustus 1985
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6Â°18â€²6.8â€³LS,106Â°53â€²47.2â€³BT",Taman Hiburan,Jakarta,10000,4.4,-6.3024459,106.8951559,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/TMII_Istana_Anak-anak_Indonesia.JPG/1200px-TMII_Istana_Anak-anak_Indonesia.JPG,taman mini indonesia indah tmii taman hiburan jakarta taman mini indonesia indah merupakan suatu kawasan taman wisata bertema budaya indonesia di jakarta timur area seluas kurang lebih 150 hektare atau 1 5 kilometer persegi ini terletak pada koordinat 6 18 6 8 ls 106 53 47 2 bt
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,94000,4.6,-6.12419,106.839134,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/wbmh43n6r08ibwwtofrm/Atlantis%20Water%20Adventures%20Ticket%20in%20Jakarta.jpg",atlantis water adventure taman hiburan jakarta atlantis water adventure atau dikenal dengan atlantis ancol akan menyuguhkan petualangan wisata air tak terlupakan tempat wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama yaitu kolam antila plaza atlas poseidon aquarius octopus kiddy pool dan atlantean berlokasi di kawasan ancol jakarta baycity atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,25000,4.6,-6.1173332,106.8579951,https://phm-hotels.com/static/uploads/images/media-132dd530-0aa7-4e42-99e8-8b680338c643.jpg?w=1500&h=700&mode=crop,taman impian jaya ancol taman hiburan jakarta taman impian jaya ancol merupakan sebuah objek wisata di jakarta utara n n
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,4000,4.5,-6.3124593,106.8201865,https://www.99.co/id/_next/image?url=https%3A%2F%2Fassets-id.99.co%2Fprod%2Fassets%2FKebun_Binatang_Ragunan_24e00c752e%2FKebun_Binatang_Ragunan_24e00c752e.jpg&w=2048&q=75,kebun binatang ragunan cagar alam jakarta kebun binatang ragunan adalah sebuah kebun binatang yang terletak di daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang seluas 140 hektare ini didirikan pada tahun 1864 di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen nragunan sempat ditutup selama sekitar tiga minggu sejak 19 september 2005 karena hewan hewan di dalamnya ada yang terinfeksi flu burung tetapi dibuka kembali pada 11 oktober 2005 kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua orangutan gorila anoa dan gajah
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Taman Hiburan,Jakarta,180000,4.6,-6.1258017,106.8363249,https://www.beritadaerah.co.id/wp-content/uploads/2020/12/Ecopark-Ancol-Jakarta-Utara-Foto-Jakarta-Tourism.jpg,ocean ecopark taman hiburan jakarta ocean ecopark salah satu zona rekreasi ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga beberapa diantaranya outbondholic rumah energy rumah lebah kano paintball outbondholic eco market learning farm eco bike faunaland kalau berencana berwisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuknya karena harga tiket masuk ocean eco park ditawarkan dengan harga yang masih terjangkau
9,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,0,4.7,-6.1766868,106.8417666,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c7/e2/8f/pasar-seni-ancol.jpg?w=900&h=500&s=1,pasar seni pusat perbelanjaan jakarta pasar seni merupakan pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki didirikan awal tahun 1977 dengan peletakan batu pertama oleh bang ali sadikin gubernur pertama dki jakarta tepatnya pada bulan juli 1977 dan diresmikan oleh gubernur h tjokropanolo pada tanggal 17 desember 1977 sejak diresmikan pasar seni mendapat sambutan positif bagi pada pecinta seni yang ada
10,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,0,4.4,-6.1314572,106.8106169,"https://atourin.obs.ap-southeast-3.myhuaweicloud.com/images/destination/jakarta/jembatan-kota-intan-profile1655004438.jpeg?x-image-process=image/resize,p_100,limit_1/imageslim",jembatan kota intan budaya jakarta jembatan kota intan adalah jembatan tertua di indonesia yang dibangun pada tahun 1628 oleh pemerintah vereenigde oostindische compagnie atau voc atau masyarakat kita lebih familiar dengan sebutan kumpeni jembatan itu kini terletak di kali besar kawasan kota tua wilayah jakarta barat dan berada di bawah pengelolaan dinas pariwisata dan kebudayaan provinsi dki jakarta
